topicNumberAfterRemoval	maxtopic20selected_id	representative terms					
1	1	data system based software metadata tools access information scientific integration knowledge distributed researchers development support components design language representation datasets users heterogeneous new kepler scientific_workflows tool modeling applications ontology open informatics admb describe infrastructure seek standards providing sharing discovery earth 					
2	2	conservation biodiversity reserves areas protected_areas protection conservation_planning planning identify design conservation_biology land effective effectiveness scenarios reserve priority reserve_design priorities area conserving criteria protect existing hotspots threats threatened measures gap ecoregions identifying conservation_priorities protected_area protected representation zones identified inform management protecting 					
3	6	climate_change climate temperature changes responses warming impacts temperatures phenology salmon spring projected changing sensitivity future shifts scenarios phenological potential change precipitation timing response tundra climatic effects respond thermal extreme climate_variability climates earlier predicted advance sensitive climate_warming weather flowering seasonal shift 					
4	8	populations population population_dynamics dynamics demographic stochastic density demography density_dependence population_size population_growth effects matrix population_density population_models structured population_viability_analysis time_series fluctuations transient cycles pva density_dependent individuals time population_growth_rate chaos population_cycles cycle population_level stage stochasticity delayed occurs noise periodic variable determine elasticity population_viability 					
5	1	model models modeling based simulation developed process results parameters modeled simple nonlinear fit observed sensitivity assumptions complex detailed simulations coupled incorporate incorporating stochastic dynamics predictions realistic fitting simulated field initial mechanistic modelling make component general data equations parameter complexity outputs 					
6	12	diversity taxa genera fossil_record phanerozoic extinction origination paleozoic genus triassic level bivalves jurassic patterns early faunal middle assemblages end background mass_extinctions taxonomic history ordovician occurrence boundary mass occurrences carbonate global brachiopod trends analyses brachiopods cenozoic increase taphonomic turnover interval shows 					
7	10	npp emissions co2 c carbon atmosphere estimates ch4 permafrost methane estimate arctic net ch_4 fluxes measurements carbon_dioxide tundra estimated soils net_primary_production total production emission flux pg respiration ecosystems atmospheric atmospheric_co2 land period soil annual transport boreal controls carbon_sequestration global terrestrial 					
8	3	management managing sustainability sustainable development integrated challenges potential approach governance ebm existing mpas resources address goals people fisheries systems benefits mpa based including managed policy implementation philippines policies capacity coastal improved involved major success implement developing stakeholders regulations sustain improving 					
9	4	ocean impacts impact marine marine_reserves marine_ecosystems oceans human management cumulative fishing threats coastal multiple areas ecosystems comprehensive human_activities activities local managers marine_protected_areas stressors current sea terrestrial assess pollution anthropogenic inform vulnerability acidification effects mapping suite adjacent california marine_systems kelp_forest protection 					
10	9	species species_richness range species_diversity distributions ranges biodiversity birds species_interactions species_distributions distribution determined geographical patterns range_size species_area similar species_borders species_level range_limits species_composition occupancy species_distribution affected macroecological number determinants overlap species_ranges 2050 geographic_range geographically range_shifts geographical_ranges geographic_ranges geographical_range problematic range_expansion range_sizes sar 					
11	3	ecosystems ecosystem ecosystem_services ecosystem_based services affect including valuation ecosystem_processes key ecosystem_function changes indicators processes ecosystem_functioning dynamic functioning ecosystem_functions economic ecosystem_service biosphere ecosystem_management provided resilience ecosystem_structure linking measuring provide ecosystem_model create ecosystem_engineering ecosystem_engineers important means insights maintain extent quantifying alterations broadly 					
12	4	fisheries fishery fish stocks management catch fishing biomass harvest trends yield exploitation status collapse sustainable seafood catches stock longline production declining levels pelagic stock_assessment target capture collapsed commercial fished aquaculture whales effects populations recreational marine_reserves maximum overfished sharks closures developed 					
13	5	diversity biodiversity productivity species relationship richness relationships scale patterns species_richness effects beta_diversity form scales dependent levels loss measures turnover one pattern plots extent underlying production appears evenness beta hump_shaped primary_productivity unimodal aspects focus gamma stability curves suggests suite alliances alpha 					
14	1	models predictions predict distribution predicted predicting prediction test potential mechanistic distributions current predictive based model range predicts tested gap implications physiological species australia distributional forecast ecology occurrence point garp constraints make performance accurate forecasting niche ability suitable correlative geographic_distributions link 					
15	3	framework approach approaches systems develop provide application demonstrate applied illustrate tool increasingly requires assessing describe applying alternative explicit apply incorporating utility integrated present powerful address traditional identify modeling analytical metrics tools advances multi key emphasis perspective conventional developed challenge incorporates 					
16	16	disease pathogen transmission spread pathogens infectious_diseases dynamics diseases infection emerging infectious_disease epidemics outbreaks host rabies seasonal control epidemic wildlife seasonality outbreak measles virus malaria cholera infected important emergence epidemiological united_states immunity potentially vaccination incidence raccoon_rabies ebola epidemiology epizootic hosts raccoons 					
17	13	evolution selection fitness coevolution adaptation adaptive local evolutionary gene_flow interactions resistance evolve components populations coevolutionary frequency intraspecific rapid virulence mutualism selective simultaneously generate adaptive_radiation effect results adaptations commonly differences local_adaptation structured traits evolutionary_ecology evolving geographic_mosaic interacting adaptive_management escalation geographically mutualisms 					
18	1	data database information records data_set data_sets datasets diverse databases evaluate include analyze sources comprehensive detailed analyses derived compare made additional provided compiled literature observational specific includes locations perform comparisons dataset making published lack world represent accessible base emdi extensive reports 					
