primaryKey,AB_Updated
101:20140529ProjectCategorizations_ValuesOnly,
1026:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Forecasting species potential distributions is a leading problem for research in invasion ecology and global change biology. Given the number of freshwater organisms especially fishes that have been introduced intentionally and unintentionally an urgent need exists for the development of toots for forecasting their spread. New Computational techniques partially overcome the defects of earlier environment matching methods including sensitivity to sparse and unbalanced data inflated statistical significance and asymmetrical (omission versus commission) errors. Here we apply one such method the genetic algorithm for rule set production (GARP) to predict spatial occurrences of suitable environments for two nonindigenous fishes that so far have limited distribution in North America Eurasian ruffe (Gymnocepholus cernuus) and rainbow smelt (Osmerus mordax). For these two species we conclude that although spread is not inevitable their eventual range in North America will be considerable if management actions fait to prevent additional introductions. 
1036:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, A number of optimization models have been developed for natural reserve design and reserve site selection. The most common approach seeks to maximize the number of individual species that occur among chosen sites. A number of heuristics and mathematical programming algorithms have been applied to solve this problem. Although attaining maximum overall species representation is important the relative quality of representation which could be affected by site attributes such as habitat value adequate population size presence of critical resources existence (or lack thereof) of exotic competitors etc. has been absent from most representation models. Yet issues of site quality should be considered in order to have any assurance of long term species persistence in a reserve system. Here we present a multiobjective optimization model that addresses the issue of balancing species presence with habitat quality. One type of interesting alternative yields more high quality representation at the price of some reduction in overall representation. We present an application using a large dataset from California Gap Analysis to demonstrate this and other tradeoffs. Optimal solutions are attained using commercial integer programming software with very reasonable computational effort. 
1040:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Cluster analysis of reference sites with similar biota is the initial step in creating River Invertebrate Prediction and Classification System (RIVPACS) and similar river bioassessment models such as Australian River Assessment System (AUSRIVAS). This paper describes and tests an alternative prediction method Assessment by Nearest Neighbour Analysis (ANNA) based on the same philosophy as RIVPACS and AUSRIVAS but without the grouping step that some people view as artificial. The steps in creating ANNA models are: (i) weighting the predictor variables using a multivariate approach analogous to principal axis correlations (ii) calculating the weighted Euclidian distance from a test site to the reference sites based on the environmental predictors (iii) predicting the faunal composition based on the nearest reference sites and (iv) calculating an observed expected (O E) analogous to RIVPACS AUSRIVAS. The paper compares AUSRIVAS and ANNA models on 17 datasets representing a variety of habitats and seasons. First it examines each models regressions for Observed versus Expected number of taxa including the r(2) intercept and slope. Second the two models assessments of 79 test sites in New Zealand are compared. Third the models are compared on test and presumed reference sites along a known trace metal gradient. Fourth ANNA models are evaluated for western Australia a geographically distinct region of Australia. The comparisons demonstrate that ANNA and AUSRIVAS are generally equivalent in performance although ANNA turns out to be potentially more robust for the O versus E regressions and is potentially more accurate on the trace metal gradient sites. The ANNA method is recommended for use in bioassessment of rivers at least for corroborating the results of the well established AUSRIVAS and RIVPACS type models if not to replace them. 
106:20140529ProjectCategorizations_ValuesOnly,
1070:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, The need for sound ecological science has escalated alongside the rise of the information age and   big data   across all sectors of society. Big data generally refer to massive volumes of data not readily handled by the usual data tools and practices and present unprecedented opportunities for advancing science and informing resource management through data intensive approaches. The era of big data need not be propelled only by   big science   the term used to describe large scale efforts that have had mixed success in the individual driven culture of ecology. Collectively ecologists already have big data to bolster the scientific effort a large volume of distributed high value information but many simply fail to contribute. We encourage ecologists to join the larger scientific community in global initiatives to address major scientific and societal problems by bringing their distributed data to the table and harnessing its collective power. The scientists who contribute such information will be at the forefront of socially relevant science but will they be ecologists? 
107:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, We examine the degree to which fitting simple dynamic models to time series of population counts can predict extinction probabilities. This is both an active branch of ecological theory and an important practical topic for resource managers. We introduce an approach that is complementary to recently developed techniques for estimating extinction risks  diffusion approximations) and like them requires only count data rather than the detailed ecological information available for traditional population viability analyses. Assuming process error we use four different models of population growth to generate snapshots of population dynamics via time series of the lengths commonly available to ecologists. We then ask to what extent we can identify which of several broad classes of population dynamics is evident in the time series snapshot Along the way we introduce the idea of   variation thresholds    which are the maximum amount of process error that a population may withstand and still have a specified probability of surviving for a given length of time. We then show how these thresholds may be useful to both ecologists and resource managers particularly when dealing with large numbers of poorly understood species a common problem faced by those designing biodiversity reserves. 
1093:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Satellite remote sensing and geographic information systems are emerging technologies in geomorphology. They offer the opportunity to gain fresh insights into biophysical systems through the spatial temporal spectral and radiometric resolutions of remote sensing systems and through the analytical and data integration capability of GIS. The two technologies can be linked together into a synergistic system that is particularly well suited to the examination of landscape conditions through the interrelationships of scale pattern and process a paradigm that has gained prominence in the fields of biogeography and landscape ecology. In this study we apply optical and microwave remote sensing systems and GIS methodologies to case studies framed within the fluvial and alpine environments. We use the scale pattern and process paradigm to explore landscape relationships in those environments. Satellite image processing change detection analyses digital elevation models GIS derived geomorphic indices and variables composition and pattern metrics of landscape organization and scale dependent analyses are described and related to the study of river channel abandonment and the alpine treeline ecotone. We describe appropriate remote sensing and GIS techniques for geomorphic research and demonstrate the use of such techniques in the application of the scale pattern and processes perspective in geomorphic studies. 
110:20140529ProjectCategorizations_ValuesOnly,
1168:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Ecological models are useful tools for evaluating the ecological significance of observed or predicted effects of toxic chemicals on individual organisms. Current risk estimation approaches using hazard quotients for individual level endpoints have limited utility for assessing risks at the population ecosystem and landscape levels which are the most relevant indicators for environmental management. In this paper we define different types of ecological models summarize their input and output variables and present examples of the role of some recommended models in chemical risk assessments. A variety of population and ecosystem models have been applied successfully to evaluate ecological risks including population viability of endangered species habitat fragmentation and toxic chemical issues. In particular population models are widely available and their value in predicting dynamics of natural populations has been demonstrated. Although data are often limited on vital rates and dose response functions needed for ecological modeling accurate prediction of ecological effects may not be needed for all assessments. Often a comparative assessment of risk  relative to baseline or reference) is of primary interest. Ecological modeling is currently a valuable approach for addressing many chemical risk assessment issues including screening level evaluations. 
