primaryKey	maxtopic100selected_id	maxtopic20selected_id	lda020selected_topicWeights_ 1	lda020selected_topicWeights_ 2	lda020selected_topicWeights_ 3	lda020selected_topicWeights_ 4	lda020selected_topicWeights_ 5	lda020selected_topicWeights_ 6	lda020selected_topicWeights_ 7	lda020selected_topicWeights_ 8	lda020selected_topicWeights_ 9	lda020selected_topicWeights_10	lda020selected_topicWeights_11	lda020selected_topicWeights_12	lda020selected_topicWeights_13	lda020selected_topicWeights_14	lda020selected_topicWeights_15	lda020selected_topicWeights_16	lda100selected_topicWeights_ 1	lda100selected_topicWeights_ 2	lda100selected_topicWeights_ 3	lda100selected_topicWeights_ 4	lda100selected_topicWeights_ 5	lda100selected_topicWeights_ 6	lda100selected_topicWeights_ 7	lda100selected_topicWeights_ 8	lda100selected_topicWeights_ 9	lda100selected_topicWeights_10	lda100selected_topicWeights_11	lda100selected_topicWeights_12	lda100selected_topicWeights_13	lda100selected_topicWeights_14	lda100selected_topicWeights_15	lda100selected_topicWeights_16	lda100selected_topicWeights_17	lda100selected_topicWeights_18	lda100selected_topicWeights_19	lda100selected_topicWeights_20	lda100selected_topicWeights_21	lda100selected_topicWeights_22	lda100selected_topicWeights_23	lda100selected_topicWeights_24	lda100selected_topicWeights_25	lda100selected_topicWeights_26	lda100selected_topicWeights_27	lda100selected_topicWeights_28	lda100selected_topicWeights_29	lda100selected_topicWeights_30	lda100selected_topicWeights_31	lda100selected_topicWeights_32	lda100selected_topicWeights_33	lda100selected_topicWeights_34	lda100selected_topicWeights_35	lda100selected_topicWeights_36	lda100selected_topicWeights_37	lda100selected_topicWeights_38	lda100selected_topicWeights_39	lda100selected_topicWeights_40	lda100selected_topicWeights_41	lda100selected_topicWeights_42	lda100selected_topicWeights_43	lda100selected_topicWeights_44	lda100selected_topicWeights_45	lda100selected_topicWeights_46	lda100selected_topicWeights_47	lda100selected_topicWeights_48	lda100selected_topicWeights_49	lda100selected_topicWeights_50	lda100selected_topicWeights_51	lda100selected_topicWeights_52	lda100selected_topicWeights_53	lda100selected_topicWeights_54	lda100selected_topicWeights_55	lda100selected_topicWeights_56	lda100selected_topicWeights_57	lda100selected_topicWeights_58	lda100selected_topicWeights_59	lda100selected_topicWeights_60	lda100selected_topicWeights_61	lda100selected_topicWeights_62	lda100selected_topicWeights_63	lda100selected_topicWeights_64	lda100selected_topicWeights_65	lda100selected_topicWeights_66	lda100selected_topicWeights_67	lda100selected_topicWeights_68	lda100selected_topicWeights_69	lda100selected_topicWeights_70	lda100selected_topicWeights_71	lda100selected_topicWeights_72	lda100selected_topicWeights_73	lda100selected_topicWeights_74	lda100selected_topicWeights_75	lda100selected_topicWeights_76	lda100selected_topicWeights_77	lda100selected_topicWeights_78	lda100selected_topicWeights_79	lda100selected_topicWeights_80	lda100selected_topicWeights_81	lda100selected_topicWeights_82	lda100selected_topicWeights_83	lda100selected_topicWeights_84	lda100selected_topicWeights_85	lda100selected_topicWeights_86	lda100selected_topicWeights_87	product_oid	project_oids	AU	TI	PY	SO_clean	DT	DI	WC	NR	NumberAddresses_FromC1	NumberAuthors_FromAU	Total_Citations	CitationsIn1996	CitationsIn1997	CitationsIn1998	CitationsIn1999	CitationsIn2000	CitationsIn2001	CitationsIn2002	CitationsIn2003	CitationsIn2004	CitationsIn2005	CitationsIn2006	CitationsIn2007	CitationsIn2008	CitationsIn2009	CitationsIn2010	CitationsIn2011	CitationsIn2012	CitationsIn2013	CitationsIn2014	Project_ID	Project_Pis	Title_for_TM	summary_for_TM	first_actv_start_date_year	last_actv_end_date_year
101:20140529ProjectCategorizations_ValuesOnly	25	1	0.351851852	0.018518519	0.092592593	0	0.055555556	0.018518519	0.148148148	0.018518519	0.092592593	0	0.018518519	0	0.092592593	0.055555556	0.018518519	0.018518519	0	0	0	0	0.012658228	0	0	0	0.012658228	0	0.012658228	0	0	0	0.063291139	0	0	0.012658228	0	0.012658228	0	0	0	0	0.303797468	0	0	0	0	0.037974684	0	0	0	0.025316456	0	0.025316456	0	0	0.012658228	0.126582278	0	0.075949367	0	0.012658228	0	0	0.012658228	0	0	0.037974684	0	0	0.012658228	0	0	0	0.012658228	0	0	0	0	0	0	0	0	0	0.037974684	0.012658228	0	0	0	0.012658228	0	0.012658228	0.012658228	0	0	0.037974684	0.012658228	0	0.025316456	0	0	0.012658228	0	0	0					NaN					NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		2162	" ;Gurevitch, Jessica; Liebhold, Andrew; "	Integrating the statistical modeling of spatial data in ecology	 In a variety of ecological disciplines there is growing interest in quantifying and modeling spatial patterns. This trend reflects the growing recognition of the importance of spatial processes in shaping ecological interactions. Several different approaches have been employed by ecologists for quantifying patterns in spatial data. One approach developed originally by geographers focuses on quantifying spatial autocorrelation and hypothesis testing. Geostatistics is another approach that was originally developed by geologists for quantifying and Interpolating spatial data. A third approach   point process   statistics was developed for analyzing patterns in the physical location of plants and animals. All of these methods have unique features that are desirable in ecological applications but the relationships and similarities among these methods have not been fully explored. The diversity of these various approaches is sometimes overwhelming to ecologists and may represent an impediment to the choice of effective statistical methods for the analysis of ecological data. We propose to assemble a working group of 10 12 scientists representing a spectrum of backgrounds including pure statistics and various ecological disciplines. The group will compare these differing approaches to spatial analysis and summarize their similarities and differences. Ultimately we intend to provide a road map for ecologists to use in the selection of statistical methods for analyzing spatial data. 	1999	2000
106:20140529ProjectCategorizations_ValuesOnly	25	1	0.25	0.142857143	0.035714286	0	0	0	0.035714286	0.035714286	0.035714286	0.071428571	0.035714286	0.071428571	0.178571429	0.035714286	0.035714286	0.035714286	0.093023256	0	0	0	0	0	0	0	0	0	0.023255814	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186046512	0	0	0	0	0.023255814	0	0	0	0	0.069767442	0	0	0	0.023255814	0	0	0.046511628	0	0	0.023255814	0.023255814	0.069767442	0	0	0	0.023255814	0	0.069767442	0	0.046511628	0	0.023255814	0	0	0	0	0	0	0	0	0	0	0.046511628	0	0	0.023255814	0	0	0.11627907	0	0	0	0	0	0	0	0	0.046511628	0.023255814	0	0	0					NaN					NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		2172	" ;Lele, Subhash; Taper, Mark; Lewin-Koh, Nicholas; "	The Evidence Project: Supporting scientific claims	 Scientists strive to understand the operation of natural processes. To this end they collect data both experimental and observational. The objective and quantitative interpretation of data as evidence for one hypothesis over another hypothesis is an integral part of the scientific process. None of the existing schools of statistical inference fully addresses the needs of working scientists. Scientists are forced to twist their thinking to pigeon hole their analyses into existing paradigms. We believe that a revision of statistical theory is in order reflecting the needs of practicing ecologists. Through a dialog amongst working scientists statisticians and philosophers this working group will seek to construct a new statistical approach focused on the quantification of evidence which will supplement traditional paradigms. We will hone and demonstrate our approach through applications to difficult problems of ecological data analysis. 	1999	2002
110:20140529ProjectCategorizations_ValuesOnly	5	1	0.22972973	0.108108108	0.040540541	0.027027027	0	0.22972973	0.027027027	0.027027027	0.013513514	0.22972973	0.040540541	0	0.013513514	0	0	0.013513514	0.044444444	0.011111111	0.011111111	0	0.2	0	0.077777778	0	0	0	0.022222222	0	0	0.022222222	0	0	0	0	0	0.011111111	0.011111111	0.033333333	0.033333333	0	0	0	0	0	0	0	0	0	0	0	0	0.011111111	0	0	0.011111111	0	0.088888889	0.011111111	0.022222222	0	0	0	0	0.111111111	0	0.088888889	0	0	0	0	0	0.022222222	0	0	0.022222222	0.011111111	0.011111111	0	0	0	0	0	0	0.011111111	0.022222222	0	0	0.044444444	0	0	0	0	0	0	0	0	0	0	0	0	0.033333333	0	0					NaN					NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		2178	" ;Jackson, Robert; "	Towards an explicit representation of root distributions in global models	 Mechanistic models that examine the feedbacks between vegetation and climate (including atmospheric CO2) are critical for predicting the consequences of global change. Currently the best and most explicit descriptions of root distributions in ecosystem biome and global models are simple two or three layer representations that separate shallow and deep water at arbitrary depth  Neilson 1995). We recently completed a literature review of root distributions for terrestrial biomes and various plant functional groups (Jackson . 1996; Canadell . 1996) with the goal of providing quantitative root distributions for global models. In this proposal we highlight results of that literature synthesis and outline ways that root distributions could be incorporated into existing models (including BIOME BGC CASA CENTURY Heimann MAPSS BIOME2 SIB2 and TEM). We propose to hold two short term workshops at the NCEAS to accomplish this goal. In the first workshop participants will meet in Santa Barbara to review models receive input from specific model developers and propose model exercises. After this workshop participants will modify model code as necessary test the adjusted models and then return to the NCEAS to run a joint modeling exercise. Our ultimate goal is to incorporate root distributions into the three or four models best suited to assessing global C H2O and nutrient fluxes including at least one GCM. NCEAS funds requested in this proposal are leveraged by a financial contribution from BAHC (Biological Aspects of the Hydrological Cycle) with interest in the global consequences of rooting depth for climate and hydrology models. 	1996	1999
129:20140529ProjectCategorizations_ValuesOnly	44	1	0.285714286	0.071428571	0.107142857	0	0.035714286	0	0.25	0	0	0.142857143	0	0.035714286	0.035714286	0.035714286	0	0	0.04	0	0	0	0.06	0.02	0	0.04	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0.2	0	0.14	0.08	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.04	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0					NaN					NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		2219	" ;Reiners, William; "	Modeling ecological influences across landscape space	 The general objective of this sabbatical proposal is to promote our understanding of how an event or condition on one part of a landscape can lead to ecological effects somewhere else on that landscape. The proposed research will culminate a program that has been supported by an Andrew W. Mellon grant since 1995. Research outlined in this sabbatical proposal will implement the completion of this larger program by:1) completing formation of a relational database of literature in which ecological processes and influences are modeled in realistic landscape space (to be made available as an ACCESS file on the NCEAS or my own web site;2) publishing a conceptual broadly disseminated paper demonstrating the utility of process based landscape models for addressing the general problem of how ecological influences are propagated across realistic space; and3) publishing a book linking the concepts of propagation of ecological influences across landscapes to distributed modeling approaches with illustrated text and exemplary programs in an enclosed CD. 	2000	2000
12:20140529ProjectCategorizations_ValuesOnly	25	1	0.379310345	0	0.034482759	0	0	0.068965517	0.034482759	0.103448276	0.068965517	0	0.068965517	0.137931034	0.034482759	0.034482759	0.034482759	0	0	0.027777778	0.027777778	0.111111111	0.027777778	0	0	0.027777778	0	0	0	0	0	0.111111111	0.027777778	0	0	0	0.055555556	0	0	0	0.027777778	0	0.166666667	0	0	0.027777778	0	0	0.027777778	0	0	0	0.138888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083333333	0	0	0	0	0	0	0	0	0	0	0	0.027777778	0	0.027777778	0.027777778	0	0.027777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					NaN					NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		2025	" ;Hilborn, Ray; "	Predicting extinction: The dynamics of salmon populations at low densities	 We propose to combine meta analysis the analysis of a large number of data sets to determine the probability of different population parameters with Bayesian risk analysis to provide a methodology for making predictions about extinction and other risks of low density populations. A NCEAS working group would meet twice to apply these methods to a case study of coho salmon in California and Oregon using existing meta analytic data sets and to explore the potential for developing similar data sets for other taxonomic groups.  	1997	1998
143:20140529ProjectCategorizations_ValuesOnly	19	1	0.384615385	0.038461538	0.115384615	0.038461538	0	0.076923077	0.038461538	0	0.038461538	0.076923077	0.038461538	0.038461538	0	0.038461538	0.076923077	0	0	0	0	0.014925373	0	0	0	0	0	0	0	0	0	0	0.134328358	0	0	0.044776119	0.462686567	0	0	0.014925373	0	0	0.014925373	0	0	0	0.014925373	0	0	0	0	0	0.014925373	0	0	0.044776119	0	0	0.059701493	0.014925373	0	0.014925373	0	0	0	0	0	0	0	0	0	0	0	0	0.014925373	0	0	0	0	0	0	0	0	0.014925373	0	0	0	0	0	0.044776119	0	0.014925373	0	0	0	0	0	0	0	0.014925373	0	0.029850746	0	0.014925373	0					NaN					NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		2240	" ;Osenberg, Craig; "	 Meta analysis interaction strength and effect size: Application of biological models to the synthesis of experimental data 	 Meta analysis holds considerable promise as a rigorous quantitative approach to the synthesis of experimental results; however its future application and success will depend on our ability to extract suitable metrics of effect size from a broad pool of experimental studies. An appropriate metric should be interpretable in the context of the ecological theory that motivated the studies and be statistically tractable (although the latter is of secondary importance). Accomplishing these goals is a difficult task and at a minimum requires clarification of the meaning of   effect size   or   interaction strength   and elucidation of the links among ecological theory mathematical models experimental design and the extraction of appropriate metrics from experimental data. Here we propose a series of workshops aimed at defining the future of meta analysis in ecology which rests on our ability to define quantitative and conceptually relevant definitions of   effect size   and apply these metrics to experimental studies conducted by different investigators in different times and in different places. 	1996	1998
150:20140529ProjectCategorizations_ValuesOnly	26	1	0.333333333	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					NaN					NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		2262	" ;Russell, Gareth; "	New tools for the analysis of population and community dynamics		1996	1998
159:20140529ProjectCategorizations_ValuesOnly	44	1	0.8	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					NaN					NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		2281	" ;Gerrard, Ross; "	Investigating alternative land use habitat conservation strategies using GIS and optimization modeling		1996	1998
161:20140529ProjectCategorizations_ValuesOnly	1	1	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					NaN					NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		2284	" ;Carpenter, Stephen; "	 Synthesis in Ecology: Applications opportunities and challenges 		1996	1996
16:20140529ProjectCategorizations_ValuesOnly	44	1	0.32	0.06	0.04	0.08	0	0.08	0.2	0.04	0	0.02	0.02	0.04	0	0.02	0.02	0.06	0.013513514	0	0	0.040540541	0.135135135	0	0	0	0	0	0.027027027	0	0	0.013513514	0	0	0	0	0	0.013513514	0	0.013513514	0	0	0.013513514	0	0	0	0.040540541	0	0.013513514	0.013513514	0	0	0	0.027027027	0	0	0	0.108108108	0	0	0	0.243243243	0	0.081081081	0.040540541	0	0	0	0	0.013513514	0	0	0	0	0	0.013513514	0	0.054054054	0.027027027	0	0.013513514	0	0	0.013513514	0	0	0.013513514	0.013513514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					NaN					NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		2031	" ;Reiners, William; "	Propagation of ecological influences across landscape space	 Some of the most exciting and important advances in ecology today involve the extension of ecological principles and models across space. The science has moved from point models and 1D models to 2D and in aquatic systems 3D theoretical and mechanistic representations of ecological processes. Landscape ecology is a focal area for much of this activity but here much of the focus is on abstract rather than explicit space and on theoretical rather than realistically parameterized models of processes in explicit space. Receiving less emphasis and of great promise for basic and applied purposes is a focus on the interactions of ecosystem elements across explicit landscape space. Exception to this generality are spatially explicit population models which combine population simulators with data for particular landscapes. The purpose of this proposal is to promote a focus on spatially explicit modeling involving a wide range of ecological phenomena beyond populations. This proposal outlines a conceptual framework for investigating and modeling the propagation of ecological influences across explicit landscape space. It proposes a joint project between NCEAS and NCGIA under the joint direction of the applicant (W.A. Reiners) F. Davis from NCEAS and Michael Goodchild from NCGIA. The proposal is designed to draw a diverse group of participants into the collective development of a conceptual framework and case studies which will ultimately foster research and modeling by a broad community of diverse scientists on the propagation of ecological influences across explicit landscape scale space. Specific project goals are to produce a conceptual paper on the subject together with a book either electronic or hard copy describing methods and providing illustrative models for conceptualizing modeling and simulating the transfer of cause and effect across landscapes.  	1997	1997
